SYMBOL	ENSEMBL	ENTREZID	GENENAME
KPNA2	ENSG00000182481	3838	karyopherin subunit alpha 2
NAA10	ENSG00000102030	8260	N(alpha)-acetyltransferase 10, NatA catalytic subunit
PPIL2	ENSG00000100023	23759	peptidylprolyl isomerase like 2
ZSCAN12	ENSG00000158691	9753	zinc finger and SCAN domain containing 12
PDYN	ENSG00000101327	5173	prodynorphin
SLPI	ENSG00000124107	6590	secretory leukocyte peptidase inhibitor
TNFAIP1	ENSG00000109079	7126	TNF alpha induced protein 1
RRP1B	ENSG00000160208	23076	ribosomal RNA processing 1B
SETD8	NA	NA	NA
SEMA3F	ENSG00000001617	6405	semaphorin 3F
BAHCC1	ENSG00000266074	57597	BAH domain and coiled-coil containing 1
CKS2	ENSG00000123975	1164	CDC28 protein kinase regulatory subunit 2
CCDC150	ENSG00000144395	284992	coiled-coil domain containing 150
ANKRD20A3	ENSG00000276203	441425	ankyrin repeat domain 20 family member A3
ZASP	NA	101927655	ZO-2 associated speckle protein
ZNF609	ENSG00000180357	23060	zinc finger protein 609
OCM	ENSG00000122543	654231	oncomodulin
GATAD1	ENSG00000157259	57798	GATA zinc finger domain containing 1
RPL39	ENSG00000198918	6170	ribosomal protein L39
DDX25	ENSG00000109832	29118	DEAD-box helicase 25
PRR29	ENSG00000224383	92340	proline rich 29
SPATA17	ENSG00000162814	128153	spermatogenesis associated 17
SGPP2	ENSG00000163082	130367	sphingosine-1-phosphate phosphatase 2
TATDN2	ENSG00000157014	9797	TatD DNase domain containing 2
CCR1	ENSG00000163823	1230	C-C motif chemokine receptor 1
C14orf169	NA	NA	NA
SPCS2	ENSG00000118363	9789	signal peptidase complex subunit 2
MYOCD	ENSG00000141052	93649	myocardin
ASB1	ENSG00000065802	51665	ankyrin repeat and SOCS box containing 1
ASB2	ENSG00000100628	51676	ankyrin repeat and SOCS box containing 2
ASB2	ENSG00000278693	51676	ankyrin repeat and SOCS box containing 2
WDR38	ENSG00000136918	401551	WD repeat domain 38
CSAD	ENSG00000139631	51380	cysteine sulfinic acid decarboxylase
LRRC75A	ENSG00000181350	388341	leucine rich repeat containing 75A
UBE3B	ENSG00000151148	89910	ubiquitin protein ligase E3B
KIAA1586	ENSG00000168116	57691	KIAA1586
GPX6	ENSG00000198704	257202	glutathione peroxidase 6
GPX6	ENSG00000281185	257202	glutathione peroxidase 6
KRTAP5-10	ENSG00000204572	387273	keratin associated protein 5-10
TMEM40	ENSG00000088726	55287	transmembrane protein 40
CUL9	ENSG00000112659	23113	cullin 9
ZNF526	ENSG00000167625	116115	zinc finger protein 526
KNCN	ENSG00000162456	148930	kinocilin
SUN5	ENSG00000167098	140732	Sad1 and UNC84 domain containing 5
KDM6A	ENSG00000147050	7403	lysine demethylase 6A
MED16	ENSG00000175221	10025	mediator complex subunit 16
MED16	ENSG00000282092	10025	mediator complex subunit 16
MRPL53	ENSG00000204822	116540	mitochondrial ribosomal protein L53
S100A12	ENSG00000163221	6283	S100 calcium binding protein A12
RALGAPA2	ENSG00000188559	57186	Ral GTPase activating protein catalytic alpha subunit 2
DCAF12L1	ENSG00000198889	139170	DDB1 and CUL4 associated factor 12 like 1
RBP3	ENSG00000265203	5949	retinol binding protein 3
CNBP	ENSG00000169714	7555	CCHC-type zinc finger nucleic acid binding protein
PGAM4	ENSG00000226784	441531	phosphoglycerate mutase family member 4
INSIG1	ENSG00000186480	3638	insulin induced gene 1
AKR7A2	ENSG00000053371	8574	aldo-keto reductase family 7 member A2
SLC25A14	ENSG00000102078	9016	solute carrier family 25 member 14
NOC4L	ENSG00000184967	79050	nucleolar complex associated 4 homolog
TSTD1	ENSG00000215845	100131187	thiosulfate sulfurtransferase like domain containing 1
RAB27B	ENSG00000041353	5874	RAB27B, member RAS oncogene family
TAS2R14	ENSG00000212127	50840	taste 2 receptor member 14
TAS2R14	ENSG00000261984	50840	taste 2 receptor member 14
TAS2R14	ENSG00000276541	50840	taste 2 receptor member 14
C8B	ENSG00000021852	732	complement C8 beta chain
RPL26L1	ENSG00000037241	51121	ribosomal protein L26 like 1
RFFL	ENSG00000092871	117584	ring finger and FYVE like domain containing E3 ubiquitin protein ligase
PAPSS2	ENSG00000198682	9060	3'-phosphoadenosine 5'-phosphosulfate synthase 2
SPHAR	ENSG00000213029	10638	S-phase response (cyclin related)
KDM2A	ENSG00000173120	22992	lysine demethylase 2A
CAPN8	ENSG00000203697	388743	calpain 8
ZYG11B	ENSG00000162378	79699	zyg-11 family member B, cell cycle regulator
PDE10A	ENSG00000112541	10846	phosphodiesterase 10A
HIST1H2BB	ENSG00000276410	3018	histone cluster 1 H2B family member b
FOXP1	ENSG00000114861	27086	forkhead box P1
FOXP1	ENSG00000285708	27086	forkhead box P1
IFNA8	ENSG00000120242	3445	interferon alpha 8
ERVMER34-1	ENSG00000226887	100288413	endogenous retrovirus group MER34 member 1, envelope
RHAG	ENSG00000112077	6005	Rh associated glycoprotein
PLBD2	ENSG00000151176	196463	phospholipase B domain containing 2
LRP5L	ENSG00000100068	91355	LDL receptor related protein 5 like
TMEFF1	ENSG00000241697	8577	transmembrane protein with EGF like and two follistatin like domains 1
GRAPL	ENSG00000189152	400581	GRB2 related adaptor protein like
RPS6KC1	ENSG00000136643	26750	ribosomal protein S6 kinase C1
PANX1	ENSG00000110218	24145	pannexin 1
TMEM106A	ENSG00000184988	113277	transmembrane protein 106A
DEFB124	ENSG00000180383	245937	defensin beta 124
MCHR2	ENSG00000152034	84539	melanin concentrating hormone receptor 2
MYOD1	ENSG00000129152	4654	myogenic differentiation 1
NRBP2	ENSG00000185189	340371	nuclear receptor binding protein 2
CATSPER1	ENSG00000175294	117144	cation channel sperm associated 1
DHX34	ENSG00000134815	9704	DExH-box helicase 34
ADAM2	ENSG00000104755	2515	ADAM metallopeptidase domain 2
ADAM2	ENSG00000276286	2515	ADAM metallopeptidase domain 2
ACSL4	ENSG00000068366	2182	acyl-CoA synthetase long chain family member 4
MSH4	ENSG00000057468	4438	mutS homolog 4
USP27X	ENSG00000273820	389856	ubiquitin specific peptidase 27 X-linked
SRCAP	ENSG00000080603	10847	Snf2 related CREBBP activator protein
SHC2	ENSG00000129946	25759	SHC adaptor protein 2
MCIDAS	ENSG00000234602	345643	multiciliate differentiation and DNA synthesis associated cell cycle protein
RAB32	ENSG00000118508	10981	RAB32, member RAS oncogene family
ACAD8	ENSG00000151498	27034	acyl-CoA dehydrogenase family member 8
PPP1R18	ENSG00000146112	170954	protein phosphatase 1 regulatory subunit 18
PPP1R18	ENSG00000230341	170954	protein phosphatase 1 regulatory subunit 18
PPP1R18	ENSG00000206485	170954	protein phosphatase 1 regulatory subunit 18
PPP1R18	ENSG00000229998	170954	protein phosphatase 1 regulatory subunit 18
PPP1R18	ENSG00000234000	170954	protein phosphatase 1 regulatory subunit 18
PPP1R18	ENSG00000236428	170954	protein phosphatase 1 regulatory subunit 18
PPP1R18	ENSG00000231247	170954	protein phosphatase 1 regulatory subunit 18
PPP1R18	ENSG00000225060	170954	protein phosphatase 1 regulatory subunit 18
TMEM252	ENSG00000181778	169693	transmembrane protein 252
MATR3	ENSG00000015479	9782	matrin 3
MATR3	ENSG00000280987	9782	matrin 3
WDR45	ENSG00000196998	11152	WD repeat domain 45
OR11H1	ENSG00000130538	81061	olfactory receptor family 11 subfamily H member 1
LYRM7	ENSG00000186687	90624	LYR motif containing 7
SCNM1	ENSG00000163156	79005	sodium channel modifier 1
SPANXN2	ENSG00000268988	494119	SPANX family member N2
SERP2	ENSG00000151778	387923	stress associated endoplasmic reticulum protein family member 2
TK1	ENSG00000167900	7083	thymidine kinase 1
SCN10A	ENSG00000185313	6336	sodium voltage-gated channel alpha subunit 10
PTPRH	ENSG00000080031	5794	protein tyrosine phosphatase, receptor type H
SPATA45	ENSG00000185523	149643	spermatogenesis associated 45
CXCL12	ENSG00000107562	6387	C-X-C motif chemokine ligand 12
GPATCH3	ENSG00000198746	63906	G-patch domain containing 3
SLC9A3R2	ENSG00000065054	9351	SLC9A3 regulator 2
H2AFY	ENSG00000113648	9555	H2A histone family member Y
Sep-02	NA	NA	NA
PPL	ENSG00000118898	5493	periplakin
Sep-06	NA	NA	NA
PDCL2	ENSG00000163440	132954	phosducin like 2
HHLA2	ENSG00000114455	11148	HERV-H LTR-associating 2
THBS3	ENSG00000169231	7059	thrombospondin 3
PIF1	ENSG00000140451	80119	PIF1 5'-to-3' DNA helicase
LIMS3L	NA	NA	NA
CCDC142	ENSG00000135637	84865	coiled-coil domain containing 142
C11orf88	ENSG00000183644	399949	chromosome 11 open reading frame 88
NAT16	ENSG00000167011	375607	N-acetyltransferase 16 (putative)
E4F1	ENSG00000167967	1877	E4F transcription factor 1
RFTN2	ENSG00000162944	130132	raftlin family member 2
POU4F2	ENSG00000151615	5458	POU class 4 homeobox 2
NUMA1	ENSG00000137497	4926	nuclear mitotic apparatus protein 1
HERPUD2	ENSG00000122557	64224	HERPUD family member 2
SLC35D2	ENSG00000130958	11046	solute carrier family 35 member D2
SLC35D2	ENSG00000285269	11046	solute carrier family 35 member D2
NACAD	ENSG00000136274	23148	NAC alpha domain containing
GARNL3	ENSG00000136895	84253	GTPase activating Rap/RanGAP domain like 3
OSM	ENSG00000099985	5008	oncostatin M
ENOX1	ENSG00000120658	55068	ecto-NOX disulfide-thiol exchanger 1
PLCB4	ENSG00000101333	5332	phospholipase C beta 4
ULK1	ENSG00000177169	8408	unc-51 like autophagy activating kinase 1
CCDC102A	ENSG00000135736	92922	coiled-coil domain containing 102A
GPR182	ENSG00000166856	11318	G protein-coupled receptor 182
NECAB1	ENSG00000123119	64168	N-terminal EF-hand calcium binding protein 1
SNAPC3	ENSG00000164975	6619	small nuclear RNA activating complex polypeptide 3
ICA1	ENSG00000003147	3382	islet cell autoantigen 1
C2orf73	ENSG00000177994	129852	chromosome 2 open reading frame 73
DTX1	ENSG00000135144	1840	deltex E3 ubiquitin ligase 1
KCNJ12	ENSG00000184185	3768	potassium voltage-gated channel subfamily J member 12
ELFN1	ENSG00000225968	392617	extracellular leucine rich repeat and fibronectin type III domain containing 1
OR51E1	ENSG00000180785	143503	olfactory receptor family 51 subfamily E member 1
STARD3	ENSG00000131748	10948	StAR related lipid transfer domain containing 3
C11orf87	ENSG00000185742	399947	chromosome 11 open reading frame 87
GPR107	ENSG00000148358	57720	G protein-coupled receptor 107
LOC100131303	NA	NA	NA
PLCL2	ENSG00000154822	23228	phospholipase C like 2
PLCL2	ENSG00000284017	23228	phospholipase C like 2
SERINC4	ENSG00000184716	619189	serine incorporator 4
FNBP1	ENSG00000187239	23048	formin binding protein 1
PLXNB2	ENSG00000196576	23654	plexin B2
NR4A1	ENSG00000123358	3164	nuclear receptor subfamily 4 group A member 1
ZBED6CL	ENSG00000188707	113763	ZBED6 C-terminal like
ROR2	ENSG00000169071	4920	receptor tyrosine kinase like orphan receptor 2
KLF15	ENSG00000163884	28999	Kruppel like factor 15
PLSCR1	ENSG00000188313	5359	phospholipid scramblase 1
TMEM187	ENSG00000177854	8269	transmembrane protein 187
GOLGA5	ENSG00000066455	9950	golgin A5
COL21A1	ENSG00000124749	81578	collagen type XXI alpha 1 chain
OR8I2	ENSG00000172154	120586	olfactory receptor family 8 subfamily I member 2
MAGEE1	ENSG00000198934	57692	MAGE family member E1
ERRFI1	ENSG00000116285	54206	ERBB receptor feedback inhibitor 1
COMMD5	ENSG00000170619	28991	COMM domain containing 5
C14orf105	NA	NA	NA
MSH3	ENSG00000113318	4437	mutS homolog 3
PDCD11	ENSG00000148843	22984	programmed cell death 11
NUTM2F	ENSG00000130950	54754	NUT family member 2F
CRYBB3	ENSG00000100053	1417	crystallin beta B3
DLG5	ENSG00000151208	9231	discs large MAGUK scaffold protein 5
DLG5	ENSG00000274429	9231	discs large MAGUK scaffold protein 5
VSTM2A	ENSG00000170419	222008	V-set and transmembrane domain containing 2A
CSF1	ENSG00000184371	1435	colony stimulating factor 1
SCN4A	ENSG00000007314	6329	sodium voltage-gated channel alpha subunit 4
BRIP1	ENSG00000136492	83990	BRCA1 interacting protein C-terminal helicase 1
ASB18	ENSG00000182177	401036	ankyrin repeat and SOCS box containing 18
MAN1A1	ENSG00000111885	4121	mannosidase alpha class 1A member 1
PFKFB4	ENSG00000114268	5210	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4
GUCY1B3	NA	NA	NA
COX7A1	ENSG00000161281	1346	cytochrome c oxidase subunit 7A1
PTPN7	ENSG00000143851	5778	protein tyrosine phosphatase, non-receptor type 7
KRT17	ENSG00000128422	3872	keratin 17
ANXA2	ENSG00000182718	302	annexin A2
TMEM243	ENSG00000135185	79161	transmembrane protein 243
C3orf33	ENSG00000174928	285315	chromosome 3 open reading frame 33
KLF13	ENSG00000169926	51621	Kruppel like factor 13
KLF13	ENSG00000275746	51621	Kruppel like factor 13
DSTN	ENSG00000125868	11034	destrin, actin depolymerizing factor
PROC	ENSG00000115718	5624	protein C, inactivator of coagulation factors Va and VIIIa
DIRC1	ENSG00000174325	116093	disrupted in renal carcinoma 1
IFT27	ENSG00000100360	11020	intraflagellar transport 27
MBD3L5	ENSG00000237247	284428	methyl-CpG binding domain protein 3 like 5
UTP18	ENSG00000011260	51096	UTP18, small subunit processome component
HSF4	ENSG00000102878	3299	heat shock transcription factor 4
KCNA2	ENSG00000177301	3737	potassium voltage-gated channel subfamily A member 2
GTF2A1L	ENSG00000242441	11036	general transcription factor IIA subunit 1 like
TBPL2	ENSG00000182521	387332	TATA-box binding protein like 2
LPAR1	ENSG00000198121	1902	lysophosphatidic acid receptor 1
CHRM4	ENSG00000180720	1132	cholinergic receptor muscarinic 4
ELAVL4	ENSG00000162374	1996	ELAV like RNA binding protein 4
HEPN1	ENSG00000221932	641654	hepatocellular carcinoma, down-regulated 1
DSG2	ENSG00000046604	1829	desmoglein 2
LOC100132146	NA	NA	NA
NAALAD2	ENSG00000077616	10003	N-acetylated alpha-linked acidic dipeptidase 2
NAALAD2	ENSG00000285516	10003	N-acetylated alpha-linked acidic dipeptidase 2
SPRR2A	ENSG00000241794	6700	small proline rich protein 2A
OR52W1	ENSG00000175485	120787	olfactory receptor family 52 subfamily W member 1
PPP1R14D	ENSG00000166143	54866	protein phosphatase 1 regulatory inhibitor subunit 14D
CDHR2	ENSG00000074276	54825	cadherin related family member 2
BPHL	ENSG00000137274	670	biphenyl hydrolase like
ALPPL2	NA	NA	NA
PLGLB1	ENSG00000183281	5343	plasminogen-like B1
TMCO3	ENSG00000150403	55002	transmembrane and coiled-coil domains 3
DNAH11	ENSG00000105877	8701	dynein axonemal heavy chain 11
CT83	ENSG00000204019	203413	cancer/testis antigen 83
NUTM2G	ENSG00000188152	441457	NUT family member 2G
C5orf49	ENSG00000215217	134121	chromosome 5 open reading frame 49
TDRD10	ENSG00000163239	126668	tudor domain containing 10
GATA3	ENSG00000107485	2625	GATA binding protein 3
MYLIP	ENSG00000007944	29116	myosin regulatory light chain interacting protein
ABHD17B	ENSG00000107362	51104	abhydrolase domain containing 17B
OR1N1	ENSG00000171505	138883	olfactory receptor family 1 subfamily N member 1
GC	ENSG00000145321	2638	GC, vitamin D binding protein
GPATCH1	ENSG00000076650	55094	G-patch domain containing 1
DLEC1	ENSG00000008226	9940	DLEC1, cilia and flagella associated protein
WNT6	ENSG00000115596	7475	Wnt family member 6
NDUFB1	ENSG00000183648	4707	NADH:ubiquinone oxidoreductase subunit B1
RIMBP3	ENSG00000275793	85376	RIMS binding protein 3
MT1H	ENSG00000205358	4496	metallothionein 1H
ADAR	ENSG00000160710	103	adenosine deaminase, RNA specific
CHRNB1	ENSG00000170175	1140	cholinergic receptor nicotinic beta 1 subunit
CHRNB1	ENSG00000283946	1140	cholinergic receptor nicotinic beta 1 subunit
C9orf142	NA	NA	NA
TFB2M	ENSG00000162851	64216	transcription factor B2, mitochondrial
DBX2	ENSG00000185610	440097	developing brain homeobox 2
YWHAG	ENSG00000170027	7532	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma
ELP6	ENSG00000163832	54859	elongator acetyltransferase complex subunit 6
DENND6B	ENSG00000205593	414918	DENN domain containing 6B
GTF2H2	ENSG00000145736	2966	general transcription factor IIH subunit 2
GTF2H2	ENSG00000276910	2966	general transcription factor IIH subunit 2
GTF2H2	ENSG00000275045	2966	general transcription factor IIH subunit 2
TFEB	ENSG00000112561	7942	transcription factor EB
VAT1L	ENSG00000171724	57687	vesicle amine transport 1 like
PFAS	ENSG00000178921	5198	phosphoribosylformylglycinamidine synthase
KHNYN	ENSG00000100441	23351	KH and NYN domain containing
CHGB	ENSG00000089199	1114	chromogranin B
OR5B21	ENSG00000198283	219968	olfactory receptor family 5 subfamily B member 21
RBM23	ENSG00000100461	55147	RNA binding motif protein 23
MCOLN3	ENSG00000055732	55283	mucolipin 3
HEG1	ENSG00000173706	57493	heart development protein with EGF like domains 1
ARHGAP19	ENSG00000213390	84986	Rho GTPase activating protein 19
CGN	ENSG00000143375	57530	cingulin
IFNA21	ENSG00000137080	3452	interferon alpha 21
RPL11	ENSG00000142676	6135	ribosomal protein L11
ABCC11	ENSG00000121270	85320	ATP binding cassette subfamily C member 11
RBM4	ENSG00000173933	5936	RNA binding motif protein 4
FCAMR	ENSG00000162897	83953	Fc fragment of IgA and IgM receptor
CNNM3	ENSG00000168763	26505	cyclin and CBS domain divalent metal cation transport mediator 3
C12orf77	ENSG00000226397	196415	chromosome 12 open reading frame 77
FAM98B	ENSG00000171262	283742	family with sequence similarity 98 member B
ATG10	ENSG00000152348	83734	autophagy related 10
PROX1	ENSG00000117707	5629	prospero homeobox 1
ST13	ENSG00000100380	6767	ST13, Hsp70 interacting protein
TM9SF1	ENSG00000100926	10548	transmembrane 9 superfamily member 1
TM9SF1	ENSG00000285465	10548	transmembrane 9 superfamily member 1
GCSH	ENSG00000140905	2653	glycine cleavage system protein H
RNASE13	ENSG00000206150	440163	ribonuclease A family member 13 (inactive)
SOD1	ENSG00000142168	6647	superoxide dismutase 1
TSPAN3	ENSG00000140391	10099	tetraspanin 3
CUX2	ENSG00000111249	23316	cut like homeobox 2
SLC16A3	ENSG00000141526	9123	solute carrier family 16 member 3
NCOA1	ENSG00000084676	8648	nuclear receptor coactivator 1
Sep-01	NA	NA	NA
PINLYP	ENSG00000234465	390940	phospholipase A2 inhibitor and LY6/PLAUR domain containing
GUCD1	ENSG00000138867	83606	guanylyl cyclase domain containing 1
UTP14A	ENSG00000156697	10813	UTP14A, small subunit processome component
MEOX2	ENSG00000106511	4223	mesenchyme homeobox 2
MARK4	ENSG00000007047	57787	microtubule affinity regulating kinase 4
PRTG	ENSG00000166450	283659	protogenin
GID8	ENSG00000101193	54994	GID complex subunit 8 homolog
C19orf33	ENSG00000167644	64073	chromosome 19 open reading frame 33
UBL4B	ENSG00000186150	164153	ubiquitin like 4B
APEX1	ENSG00000100823	328	apurinic/apyrimidinic endodeoxyribonuclease 1
AMHR2	ENSG00000135409	269	anti-Mullerian hormone receptor type 2
LRRN1	ENSG00000175928	57633	leucine rich repeat neuronal 1
SULT6B1	ENSG00000138068	391365	sulfotransferase family 6B member 1
C3orf58	NA	NA	NA
BSCL2	ENSG00000168000	26580	BSCL2, seipin lipid droplet biogenesis associated
DHTKD1	ENSG00000181192	55526	dehydrogenase E1 and transketolase domain containing 1
DEFB134	ENSG00000205882	613211	defensin beta 134
DEFB134	ENSG00000284754	613211	defensin beta 134
MAGEF1	ENSG00000177383	64110	MAGE family member F1
KIAA1671	ENSG00000197077	85379	KIAA1671
MAPKAPK5	ENSG00000089022	8550	mitogen-activated protein kinase-activated protein kinase 5
CLDN1	ENSG00000163347	9076	claudin 1
KANK1	ENSG00000107104	23189	KN motif and ankyrin repeat domains 1
SMARCE1	ENSG00000073584	6605	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1
C10orf113	ENSG00000204683	387638	chromosome 10 open reading frame 113
HSPB3	ENSG00000169271	8988	heat shock protein family B (small) member 3
SPRYD3	ENSG00000167778	84926	SPRY domain containing 3
RD3	ENSG00000198570	343035	retinal degeneration 3, GUCY2D regulator
QRICH1	ENSG00000198218	54870	glutamine rich 1
INMT	ENSG00000241644	11185	indolethylamine N-methyltransferase
SCUBE1	ENSG00000159307	80274	signal peptide, CUB domain and EGF like domain containing 1
TMEM255B	ENSG00000184497	348013	transmembrane protein 255B
TMEM255B	ENSG00000282107	348013	transmembrane protein 255B
TMEM95	ENSG00000182896	339168	transmembrane protein 95
SSPN	ENSG00000123096	8082	sarcospan
PITPNM2	ENSG00000090975	57605	phosphatidylinositol transfer protein membrane associated 2
KCNK10	ENSG00000100433	54207	potassium two pore domain channel subfamily K member 10
FAM26F	NA	NA	NA
NTMT1	ENSG00000148335	28989	N-terminal Xaa-Pro-Lys N-methyltransferase 1
ERAS	ENSG00000187682	3266	ES cell expressed Ras
GTF2IRD1	ENSG00000006704	9569	GTF2I repeat domain containing 1
MZT2B	ENSG00000152082	80097	mitotic spindle organizing protein 2B
DNAJB13	ENSG00000187726	374407	DnaJ heat shock protein family (Hsp40) member B13
ZC2HC1A	ENSG00000104427	51101	zinc finger C2HC-type containing 1A
CEACAM1	ENSG00000079385	634	carcinoembryonic antigen related cell adhesion molecule 1
F8A2	ENSG00000274791	474383	coagulation factor VIII associated 2
GDPD3	ENSG00000102886	79153	glycerophosphodiester phosphodiesterase domain containing 3
ALS2CL	ENSG00000178038	259173	ALS2 C-terminal like
PCDH7	ENSG00000169851	5099	protocadherin 7
EGFLAM	ENSG00000164318	133584	EGF like, fibronectin type III and laminin G domains
CD79A	ENSG00000105369	973	CD79a molecule
CEACAM6	ENSG00000086548	4680	carcinoembryonic antigen related cell adhesion molecule 6
POP5	ENSG00000167272	51367	POP5 homolog, ribonuclease P/MRP subunit
INO80C	ENSG00000153391	125476	INO80 complex subunit C
RNF121	ENSG00000137522	55298	ring finger protein 121
NFE4	ENSG00000230257	58160	nuclear factor, erythroid 4
ERICH3	ENSG00000178965	127254	glutamate rich 3
HTT	ENSG00000197386	3064	huntingtin
LCE3E	ENSG00000185966	353145	late cornified envelope 3E
CNFN	ENSG00000105427	84518	cornifelin
PHYH	ENSG00000107537	5264	phytanoyl-CoA 2-hydroxylase
FAM151B	ENSG00000152380	167555	family with sequence similarity 151 member B
PDGFC	ENSG00000145431	56034	platelet derived growth factor C
KDM3B	ENSG00000120733	51780	lysine demethylase 3B
AMIGO2	ENSG00000139211	347902	adhesion molecule with Ig like domain 2
TMEM72	ENSG00000187783	643236	transmembrane protein 72
KISS1	ENSG00000170498	3814	KiSS-1 metastasis suppressor
MAGEB17	ENSG00000182798	645864	MAGE family member B17
SIN3A	ENSG00000169375	25942	SIN3 transcription regulator family member A
CXXC5	ENSG00000171604	51523	CXXC finger protein 5
PTPN4	ENSG00000088179	5775	protein tyrosine phosphatase, non-receptor type 4
TDG	ENSG00000139372	6996	thymine DNA glycosylase
CORO7-PAM16	ENSG00000103426	100529144	CORO7-PAM16 readthrough
CORO7-PAM16	ENSG00000278760	100529144	CORO7-PAM16 readthrough
RABAC1	ENSG00000105404	10567	Rab acceptor 1
KLF4	ENSG00000136826	9314	Kruppel like factor 4
DEFB123	ENSG00000180424	245936	defensin beta 123
BAD	ENSG00000002330	572	BCL2 associated agonist of cell death
STAT6	ENSG00000166888	6778	signal transducer and activator of transcription 6
CRELD2	ENSG00000184164	79174	cysteine rich with EGF like domains 2
PRKG2	ENSG00000138669	5593	protein kinase cGMP-dependent 2
HIST1H2AL	ENSG00000276903	8332	histone cluster 1 H2A family member l
SAA2	ENSG00000134339	6289	serum amyloid A2
EPB41L2	ENSG00000079819	2037	erythrocyte membrane protein band 4.1 like 2
ADARB1	ENSG00000197381	104	adenosine deaminase, RNA specific B1
DISC1	ENSG00000162946	27185	DISC1 scaffold protein
HOXD11	ENSG00000128713	3237	homeobox D11
ZMYND15	ENSG00000141497	84225	zinc finger MYND-type containing 15
FABP9	ENSG00000205186	646480	fatty acid binding protein 9
OR11H2	ENSG00000258453	79334	olfactory receptor family 11 subfamily H member 2
PTGES	ENSG00000148344	9536	prostaglandin E synthase
ANGPTL3	ENSG00000132855	27329	angiopoietin like 3
CYP11B2	ENSG00000179142	1585	cytochrome P450 family 11 subfamily B member 2
CWC27	ENSG00000153015	10283	CWC27 spliceosome associated protein homolog
CDH26	ENSG00000124215	60437	cadherin 26
GALT	ENSG00000213930	2592	galactose-1-phosphate uridylyltransferase
TRIM5	ENSG00000132256	85363	tripartite motif containing 5
DPP8	ENSG00000074603	54878	dipeptidyl peptidase 8
CXCL11	ENSG00000169248	6373	C-X-C motif chemokine ligand 11
C14orf180	ENSG00000184601	400258	chromosome 14 open reading frame 180
C14orf180	ENSG00000274126	400258	chromosome 14 open reading frame 180
PDGFA	ENSG00000197461	5154	platelet derived growth factor subunit A
MRPL49	ENSG00000149792	740	mitochondrial ribosomal protein L49
LHFPL4	ENSG00000156959	375323	LHFPL tetraspan subfamily member 4
RPS6KL1	ENSG00000198208	83694	ribosomal protein S6 kinase like 1
TXNRD1	ENSG00000198431	7296	thioredoxin reductase 1
HIST1H4A	ENSG00000278637	8359	histone cluster 1 H4 family member a
OR6K6	ENSG00000180433	128371	olfactory receptor family 6 subfamily K member 6
AP5B1	ENSG00000254470	91056	adaptor related protein complex 5 subunit beta 1
ZNF626	ENSG00000188171	199777	zinc finger protein 626
OR7A17	ENSG00000185385	26333	olfactory receptor family 7 subfamily A member 17
SLC46A1	ENSG00000076351	113235	solute carrier family 46 member 1
GSE1	ENSG00000131149	23199	Gse1 coiled-coil protein
LURAP1	ENSG00000171357	541468	leucine rich adaptor protein 1
MDP1	ENSG00000213920	145553	magnesium dependent phosphatase 1
MDP1	ENSG00000285200	145553	magnesium dependent phosphatase 1
HK1	ENSG00000156515	3098	hexokinase 1
FCAR	ENSG00000186431	2204	Fc fragment of IgA receptor
FCAR	ENSG00000274580	2204	Fc fragment of IgA receptor
FCAR	ENSG00000278415	2204	Fc fragment of IgA receptor
FCAR	ENSG00000275564	2204	Fc fragment of IgA receptor
FCAR	ENSG00000275136	2204	Fc fragment of IgA receptor
FCAR	ENSG00000275970	2204	Fc fragment of IgA receptor
FCAR	ENSG00000276985	2204	Fc fragment of IgA receptor
FCAR	ENSG00000276858	2204	Fc fragment of IgA receptor
FCAR	ENSG00000275269	2204	Fc fragment of IgA receptor
FCAR	ENSG00000273738	2204	Fc fragment of IgA receptor
FCAR	ENSG00000283953	2204	Fc fragment of IgA receptor
FCAR	ENSG00000284245	2204	Fc fragment of IgA receptor
FCAR	ENSG00000283750	2204	Fc fragment of IgA receptor
FCAR	ENSG00000284004	2204	Fc fragment of IgA receptor
FCAR	ENSG00000284061	2204	Fc fragment of IgA receptor
HOXC12	ENSG00000123407	3228	homeobox C12
DCAF15	ENSG00000132017	90379	DDB1 and CUL4 associated factor 15
GOLGA1	ENSG00000136935	2800	golgin A1
SUPT5H	ENSG00000196235	6829	SPT5 homolog, DSIF elongation factor subunit
ZNF84	ENSG00000198040	7637	zinc finger protein 84
SLC6A19	ENSG00000174358	340024	solute carrier family 6 member 19
MS4A8	ENSG00000166959	83661	membrane spanning 4-domains A8
HGC6.3	ENSG00000235994	100128124	uncharacterized LOC100128124
HSD17B2	ENSG00000086696	3294	hydroxysteroid 17-beta dehydrogenase 2
DNAJB1	ENSG00000132002	3337	DnaJ heat shock protein family (Hsp40) member B1
ABHD6	ENSG00000163686	57406	abhydrolase domain containing 6
ADRA1B	ENSG00000170214	147	adrenoceptor alpha 1B
MRPS24	ENSG00000062582	64951	mitochondrial ribosomal protein S24
NUP160	ENSG00000030066	23279	nucleoporin 160
NUP160	ENSG00000285358	23279	nucleoporin 160
PASD1	ENSG00000166049	139135	PAS domain containing repressor 1
